127.0.0.1, 2016-06-02 09:49:52, GET, /inscripcion_sinadep32_docente/appadmin/index, HTTP/1.1, 200, 0.302000
127.0.0.1, 2016-06-02 09:49:53, GET, /inscripcion_sinadep32_docente/appadmin/hooks, HTTP/1.1, 200, 0.769000
127.0.0.1, 2016-06-02 09:50:00, GET, /inscripcion_sinadep32_docente/appadmin/select/db, HTTP/1.1, 200, 0.379000
127.0.0.1, 2016-06-02 09:50:04, GET, /inscripcion_sinadep32_docente/appadmin/index, HTTP/1.1, 200, 0.295000
127.0.0.1, 2016-06-02 09:50:06, GET, /admin/wizard/generated, HTTP/1.1, 200, 0.415000
127.0.0.1, 2016-06-02 09:50:06, GET, /inscripcion_sinadep32_docente/appadmin/hooks, HTTP/1.1, 200, 1.225000
127.0.0.1, 2016-06-02 09:50:07, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 0.310000
127.0.0.1, 2016-06-02 09:50:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:50:13, GET, /inscripcion_sinadep32_docente/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-02 09:50:16, GET, /inscripcion_sinadep32_docente/default/user/register, HTTP/1.1, 200, 0.415000
127.0.0.1, 2016-06-02 09:50:28, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 0.289000
127.0.0.1, 2016-06-02 09:50:30, GET, /inscripcion_sinadep32_docente/default/docente_manage, HTTP/1.1, 303, 0.106000
127.0.0.1, 2016-06-02 09:50:30, GET, /inscripcion_sinadep32_docente/default/user/login, HTTP/1.1, 200, 0.184000
127.0.0.1, 2016-06-02 09:50:41, POST, /inscripcion_sinadep32_docente/default/user/login, HTTP/1.1, 303, 0.158000
127.0.0.1, 2016-06-02 09:50:42, GET, /inscripcion_sinadep32_docente/default/user/login, HTTP/1.1, 200, 0.158000
127.0.0.1, 2016-06-02 09:50:51, GET, /inscripcion_sinadep32_docente/default/user/register, HTTP/1.1, 200, 0.276000
127.0.0.1, 2016-06-02 09:51:16, POST, /inscripcion_sinadep32_docente/default/user/register, HTTP/1.1, 303, 0.285000
127.0.0.1, 2016-06-02 09:51:17, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 0.313000
127.0.0.1, 2016-06-02 09:51:29, GET, /inscripcion_sinadep32_docente/default/docente_manage, HTTP/1.1, 200, 4.907000
127.0.0.1, 2016-06-02 09:51:29, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 1.015000
127.0.0.1, 2016-06-02 09:51:29, GET, /inscripcion_sinadep32_docente/default/docente_manage, HTTP/1.1, 200, 1.809000
127.0.0.1, 2016-06-02 09:51:45, GET, /inscripcion_sinadep32_docente/default/docente_manage, HTTP/1.1, 200, 0.304000
127.0.0.1, 2016-06-02 09:52:14, GET, /inscripcion_sinadep32_docente/default/docente_manage/t_docente/new/t_docente, HTTP/1.1, 200, 0.283000
127.0.0.1, 2016-06-02 09:52:41, POST, /inscripcion_sinadep32_docente/default/docente_manage/t_docente/new/t_docente, HTTP/1.1, 303, 0.267000
127.0.0.1, 2016-06-02 09:52:41, GET, /inscripcion_sinadep32_docente/default/docente_manage/t_docente, HTTP/1.1, 200, 0.298000
127.0.0.1, 2016-06-02 09:52:54, GET, /inscripcion_sinadep32_docente/default/docente_manage/t_docente/t_docente_archive.current_record/11, HTTP/1.1, 200, 0.239000
127.0.0.1, 2016-06-02 09:52:58, GET, /inscripcion_sinadep32_docente/default/docente_manage/t_docente, HTTP/1.1, 200, 0.330000
127.0.0.1, 2016-06-02 09:53:02, GET, /inscripcion_sinadep32_docente/default/docente_manage/t_docente, HTTP/1.1, 200, 0.111000
127.0.0.1, 2016-06-02 09:53:09, GET, /inscripcion_sinadep32_docente/default/docente_manage/t_docente, HTTP/1.1, 200, 0.128000
127.0.0.1, 2016-06-02 09:53:20, GET, /admin/wizard/step1, HTTP/1.1, 200, 0.432000
127.0.0.1, 2016-06-02 09:53:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:53:25, GET, /admin/default/index, HTTP/1.1, 303, 0.046000
127.0.0.1, 2016-06-02 09:53:25, GET, /admin/default/site, HTTP/1.1, 200, 0.494000
127.0.0.1, 2016-06-02 09:53:28, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:53:29, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 0.275000
127.0.0.1, 2016-06-02 09:53:36, GET, /inscripcion_sinadep32_docente/default/user/logout, HTTP/1.1, 303, 0.220000
127.0.0.1, 2016-06-02 09:53:36, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 0.146000
127.0.0.1, 2016-06-02 09:53:39, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 0.175000
127.0.0.1, 2016-06-02 09:53:43, GET, /inscripcion_sinadep32_docente/default/docente_manage, HTTP/1.1, 303, 0.149000
127.0.0.1, 2016-06-02 09:53:43, GET, /inscripcion_sinadep32_docente/default/user/login, HTTP/1.1, 200, 0.160000
127.0.0.1, 2016-06-02 09:53:47, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 0.215000
127.0.0.1, 2016-06-02 09:53:53, GET, /admin/default/site, HTTP/1.1, 200, 0.277000
127.0.0.1, 2016-06-02 09:53:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:53:56, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 0.189000
127.0.0.1, 2016-06-02 09:53:59, GET, /admin/default/site, HTTP/1.1, 200, 0.313000
127.0.0.1, 2016-06-02 09:54:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:55:16, GET, /admin/default/site, HTTP/1.1, 200, 0.254000
127.0.0.1, 2016-06-02 09:55:20, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2016-06-10 12:59:10, GET, /, HTTP/1.1, 303, 0.023000
127.0.0.1, 2016-06-10 12:59:12, GET, /welcome/default/index, HTTP/1.1, 200, 1.798000
127.0.0.1, 2016-06-10 12:59:12, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.040000
127.0.0.1, 2016-06-10 12:59:12, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2016-06-10 12:59:12, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.029000
127.0.0.1, 2016-06-10 12:59:13, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.089000
127.0.0.1, 2016-06-10 12:59:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.078000
